Domain,Num_words,Num_chars,Hyphen,Entropy_sdsu,Entropy_nosdsu,Entropy_nosu,Tranco_Rank,Longest_word_ratio,Typos,Freenom_TLD,Other_numbers,Subdomain levels,Label
pt.covidimo.com.br,6,16,0,3.189898095,2.5,2.921928095,0,0.222222222,0,0,0,1,1
covid19.govt.nz,5,14,0,3.39274741,2.807354922,2.807354922,1,0.266666667,0,0,0,0,1
coronavirus.barueri.sp.gov.br,5,27,0,3.509275071,2.521640636,3.281036113,0,0.379310345,0,0,0,1,1
www.schoolcovidreportcard.health.ny.gov,9,37,0,3.911306146,1,3.843139062,1,0.153846154,0,0,0,3,1
covid19.mcmaster.ca,5,17,0,3.572469459,2.75,3.640223929,1,0.421052632,0,0,0,1,1
triagem-covid19.preventsenior.com.br,9,34,1,3.968340331,3.026986833,3.896291529,1,0.194444444,0,0,0,1,1
covid.tacaratu.pe.gov.br,8,22,0,3.58418372,2.155639062,3.026986833,0,0.208333333,0,0,0,1,1
spacovida.com.br,5,15,0,3.378783493,2.947702779,2.947702779,0,0.25,0,0,0,0,1
www.ideiagovdesafioscovid19.prosas.com.br,14,39,0,3.861499231,2.251629167,3.679229297,1,0.097560976,0,0,0,2,1
webdisk.covid.governadorarcher.ma.gov.br,11,38,0,3.797020432,3.125,3.726474118,0,0.15,0,0,0,2,1
covidgci.as.vanderbilt.edu,6,24,0,3.762267391,3.321928095,3.68418372,1,0.384615385,0,0,0,2,1
covid19.dsti.gov.sl,7,17,0,3.375,2,3.095795255,0,0.210526316,0,0,0,1,1
covid.saofranciscodomaranhao.ma.gov.br,10,36,0,3.542482694,3.204447961,3.348436819,0,0.236842105,0,0,0,1,1
www.covidblock.com.br,6,19,0,3.26633264,2.921928095,3.026986833,0,0.238095238,0,0,0,1,1
covid.serrano.ma.gov.br,6,21,0,3.536886724,2.521640636,3.251629167,0,0.304347826,0,0,0,1,1
epidemiologia-covid.pzh.gov.pl,10,28,1,3.615817595,1.584962501,3.606936732,1,0.166666667,0,0,0,1,1
covid.polinfo.gov.ua,7,18,0,3.381580488,2.521640636,3.022055209,0,0.2,0,0,0,1,1
coronavirus.thebaselab.com,5,24,0,3.772055209,2.721928095,3.689703732,1,0.423076923,0,0,0,1,1
admin.covid19.moh.gov.et,7,22,0,3.68418372,1.584962501,3.373557262,1,0.208333333,0,0,0,2,1
covid.moh.kn.gov.ng,6,17,0,3.189898095,1,3.121928095,0,0.210526316,0,0,0,2,1
covid.sgrural.com.br,6,18,0,3.572469459,2.521640636,3.418295834,0,0.25,0,0,0,1,1
webdisk.veracruzcoronavirus.com.br,6,32,0,3.82131194,3.300559092,3.777362795,0,0.323529412,0,0,0,1,1
mail.novelcovid.test.web.illinois.edu,8,35,0,3.676108501,2.155639062,3.578001151,1,0.216216216,0,0,0,4,1
covid19.gov.la,5,13,0,3.251629167,2.807354922,2.807354922,0,0.285714286,0,0,0,0,1
covid.roanoke.edu,4,15,0,3.323231429,2.521640636,3.188721876,1,0.411764706,0,0,0,1,1
vassourascontraocorona.com.br,8,28,0,3.161570835,2.954003642,2.954003642,0,0.206896552,0,0,0,0,1
www.covid19.dec.gov.ua,8,20,0,3.46132014,1.584962501,3.026986833,1,0.181818182,0,0,0,2,1
covid19.mic.gov.sl,6,16,0,3.373557262,1.584962501,2.921928095,0,0.222222222,0,0,0,1,1
testecovidbrasil.com.br,6,22,0,3.630412661,3.5,3.5,0,0.260869565,0,0,0,0,1
whm.covid.governadorarcher.ma.gov.br,11,34,0,3.627763553,3.125,3.553508855,0,0.166666667,0,0,0,2,1
www.covid19.facema.edu.br,8,23,0,3.784941827,2.251629167,3.452819531,0,0.16,0,0,0,2,1
covid-itapitanga.com.br,8,22,1,3.653756708,3.280639062,3.280639062,0,0.173913043,0,0,0,0,1
covid19.tni-ad.mil.id,8,19,1,3.46132014,2.584962501,3.39274741,0,0.19047619,0,0,0,1,1
coronavirus-home-testing.service.gov.uk,6,37,1,3.86382639,2.521640636,3.760017278,1,0.282051282,0,0,0,1,1
covid19.demiroglu.bilim.edu.tr,10,28,0,3.74832866,1.921928095,3.630412661,1,0.133333333,0,0,0,2,1
quizcovid19.pontapora.ms.gov.br,10,29,0,4.088220835,2.503258335,3.78418372,0,0.161290323,0,0,0,1,1
covidpass-admin.iem.gov.lv,8,24,1,3.675310869,1.584962501,3.46132014,1,0.192307692,0,0,0,1,1
moncovidtracker.nagaland.gov.in,6,29,0,3.637537511,2.155639062,3.621175543,1,0.258064516,0,0,0,1,1
covid19.asbu.edu.tr,7,17,0,3.75,2,3.459431619,1,0.210526316,0,0,0,1,1
covid19.uwiener.edu.pe,7,20,0,3.511085408,2.521640636,3.521640636,1,0.272727273,0,0,0,1,1
autodiscover.vazyme-testcovid19.com.br,11,36,1,4.014438731,3.836591668,3.939572262,0,0.210526316,0,0,0,1,1
www.novocoronavirusnobrasil.com.br,7,32,0,3.501952762,3.257500414,3.397581911,0,0.323529412,0,0,0,1,1
www.minhaescolatemcovid.com.br,9,28,0,3.828237502,3.616348566,3.697845823,0,0.2,0,0,0,1,1
recursoscovid.criciuma.sc.gov.br,8,30,0,3.454701244,2.5,3.272804327,1,0.1875,0,0,0,1,1
mahacovid.jeevandayee.gov.in,9,26,0,3.49366069,2.55034071,3.321928095,0,0.142857143,0,0,0,1,1
covid.funsau-na.ms.gov.br,8,23,1,3.820888851,2.503258335,3.378783493,0,0.16,0,0,0,1,1
covidreport.unomaha.edu,6,21,0,3.689703732,2.521640636,3.683542362,1,0.260869565,0,0,0,1,1
documentacion-covid.stilingue.com.br,10,34,1,3.870003589,2.947702779,3.726474118,0,0.222222222,0,0,0,1,1
cpcontacts.covidonline.humspace.ucla.edu,9,38,0,3.745363543,2,3.717896013,1,0.2,0,0,0,3,1
www.jobs.covid19.nj.gov,7,21,0,3.536886724,1,3.452819531,1,0.173913043,0,0,0,3,1
www.covid19.barreiras.ba.gov.br,9,29,0,3.613337314,2.419381946,3.536886724,0,0.161290323,0,0,0,2,1
webdisk.brasilvencendoacovid.com.br,10,33,0,3.795958593,3.521928095,3.70804815,0,0.171428571,0,0,0,1,1
www.covid.emcomp.com.br,7,21,0,3.246898566,2.251629167,3.039148672,0,0.173913043,0,0,0,2,1
mail.dadoscovid.com.br,6,20,0,3.326360408,2.646439345,3.039148672,0,0.227272727,0,0,0,1,1
covid.tupanatinga.pe.gov.br,10,25,0,3.708132065,2.663532755,3.327819531,0,0.148148148,0,0,0,1,1
alertacovid.com.br,5,17,0,3.5,3.277613437,3.277613437,0,0.277777778,0,0,0,0,1
mail.testedecovidparticular.com.br,7,32,0,3.775830987,3.572623664,3.661226256,0,0.294117647,0,0,0,1,1
consulting-covid19-euromonitor-com.ezproxy.library.unlv.edu,12,57,1,4.248983806,2,4.233503662,1,0.169491525,0,0,0,3,1
coronavirus.caltech.edu,3,21,0,3.689703732,2.521640636,3.572431251,1,0.47826087,0,0,0,1,1
www.covid.carolina.ma.gov.br,7,26,0,3.555533151,2.75,3.202819531,0,0.285714286,0,0,0,2,1
www.conscientizacaocovid.ctcrasa.com.br,12,37,0,3.61038989,2.235926351,3.447742679,0,0.128205128,0,0,0,2,1
cpcontacts.cdircovid19.gov.ao,8,27,0,3.561607392,1.584962501,3.569773835,1,0.275862069,0,0,0,2,1
www3.coronavirus.sc.gov.br,6,24,0,3.538310596,3.095795255,3.323231429,0,0.423076923,0,0,1,1,1
www.test-for-coronavirus.service.gov.uk,7,37,1,3.84301016,2.521640636,3.672905595,1,0.282051282,0,0,0,2,1
covid.boavistadogurupi.ma.gov.br,9,30,0,3.655045547,3.5,3.558518613,0,0.25,0,0,0,1,1
www.covidscreening.tatiuc.edu.my,9,30,0,3.842370993,2.251629167,3.642489673,0,0.28125,0,0,0,2,1
